,1,o1,o2,o12,o3,o13,o23,o123,o4,o14,o24,o124,o34,o134,o234,o1234
1,+1,+o1,+o2,+o12,+o3,+o13,+o23,+o123,+o4,+o14,+o24,+o124,+o34,+o134,+o234,+o1234
o1,+o1,-1,+o12,-o2,+o13,-o3,-o123,+o23,+o14,-o4,-o124,+o24,-o134,+o34,+o1234,-o234
o2,+o2,-o12,-1,+o1,+o23,+o123,-o3,-o13,+o24,+o124,-o4,-o14,-o234,-o1234,+o34,+o134
o12,+o12,+o2,-o1,-1,+o123,-o23,+o13,-o3,+o124,-o24,+o14,-o4,-o1234,+o234,-o134,+o34
o3,+o3,-o13,-o23,-o123,-1,+o1,+o2,+o12,+o34,+o134,+o234,+o1234,-o4,-o14,-o24,-o124
o13,+o13,+o3,-o123,+o23,-o1,-1,-o12,+o2,+o134,-o34,+o1234,-o234,+o14,-o4,+o124,-o24
o23,+o23,+o123,+o3,-o13,-o2,+o12,-1,-o1,+o234,-o1234,-o34,+o134,+o24,-o124,-o4,+o14
o123,+o123,-o23,+o13,+o3,-o12,-o2,+o1,-1,+o1234,+o234,-o134,-o34,+o124,+o24,-o14,-o4
o4,+o4,-o14,-o24,-o124,-o34,-o134,-o234,-o1234,-1,+o1,+o2,+o12,+o3,+o13,+o23,+o123
o14,+o14,+o4,-o124,+o24,-o134,+o34,+o1234,-o234,-o1,-1,-o12,+o2,-o13,+o3,+o123,-o23
o24,+o24,+o124,+o4,-o14,-o234,-o1234,+o34,+o134,-o2,+o12,-1,-o1,-o23,-o123,+o3,+o13
o124,+o124,-o24,+o14,+o4,-o1234,+o234,-o134,+o34,-o12,-o2,+o1,-1,-o123,+o23,-o13,+o3
o34,+o34,+o134,+o234,+o1234,+o4,-o14,-o24,-o124,-o3,+o13,+o23,+o123,-1,-o1,-o2,-o12
o134,+o134,-o34,+o1234,-o234,+o14,+o4,+o124,-o24,-o13,-o3,+o123,-o23,+o1,-1,+o12,-o2
o234,+o234,-o1234,-o34,+o134,+o24,-o124,+o4,+o14,-o23,-o123,-o3,+o13,+o2,-o12,-1,+o1
o1234,+o1234,+o234,-o134,-o34,+o124,+o24,-o14,+o4,-o123,+o23,-o13,-o3,+o12,+o2,-o1,-1
